uuid:ID,aspect:Label
a55ca6e0-ee35-44bc-9730-634cbd5f1fd7,Food
f2a0fb1c-e4bf-4b4c-98a8-d580bb544e3a,Ambiance
ebf77cd6-9cdd-4591-89a3-d77830ea11d0,Food
cec54939-5754-423d-ab13-a7985440c84b,Service
f66276b7-6533-4e19-87f4-88512f0a7806,Others
903816c6-4610-46f1-be82-490e2a4e4f8e,Service
45dda204-394c-4d8f-8b82-ac1be260185c,Discount_Offer
9432b187-9bac-4d99-a9df-6cc298c51a5a,Food
1cd8048c-5adb-43aa-9d9a-e01730e758e7,Worthiness
98def357-94c2-495e-8933-6ee9c2aecc17,Service
1ae58e70-a988-4ce1-82fe-5e3e6ae5b037,Others
e056793a-acc7-4024-a82d-9f5b37fbcc32,Food
d88ec1ac-6e64-46d4-ab3d-66fa76ef0dcd,Worthiness
e17dcb52-4e08-4e8a-883d-09dff4c0377a,Others
f7730609-ff1f-497e-a944-7334dee2887c,Food
81be45d9-8d2e-4a51-9d40-26add21b38f9,Others
eb48dea7-4e97-4d0f-83a9-c4cfec463f46,Service
cce6c5f6-f463-4d6a-999a-3ff4ca1306a3,Food
af90645c-3fd3-49a4-bf53-ffbe7b6ac7f6,Ambiance
597be4a1-5790-49c7-951c-67c5181c44e7,Service
38f19fe1-8736-4aab-b5f3-f9d1631b40a2,Food
1df50892-8a92-4430-89e6-1ef29d42fb64,Discount_Offer
7604290d-3e55-4f9b-a5b2-f216dee8ed40,Ambiance
247b5ce5-d07f-406f-afef-6a0cfd83c43b,Food
8d4d4881-9d0e-42d4-bbec-fe73142b2715,Service
13a93fdb-8e4f-44dc-930b-a1668ef2166f,Others
82dd6bcf-9afd-4eca-bf14-a37106dd4323,Others
6d988493-8e4f-4058-9a2e-4fb0c9253f41,Ambiance
3040cdc8-812e-4c1b-967f-896c0d885341,Food
48c69bc4-bba6-4d7e-b9e0-9326c1252110,Service
